Deck,Directory,File,Suit,Name,Description,Reverse
Archetopics,archetopics/,addiction.png,Sigils,Addiction,.,Aversion
Archetopics,archetopics/,art.png,Sigils,Art,.,Happenstance
Archetopics,archetopics/,attention.png,Sigils,Attention,.,Distraction
Archetopics,archetopics/,beauty.png,Sigils,Beauty,.,Ugliness
Archetopics,archetopics/,beginning.png,Sigils,Beginning,.,False Start
Archetopics,archetopics/,birth.png,Sigils,Birth,.,Gestation
Archetopics,archetopics/,cosmos.png,Sigils,Cosmos,.,Void
Archetopics,archetopics/,death.png,Sigils,Death,.,Afterlife
Archetopics,archetopics/,ego.png,Sigils,Ego,.,Self
Archetopics,archetopics/,empathy.png,Sigils,Empathy,.,Antipathy
Archetopics,archetopics/,end.png,Sigils,End,.,Continuation
Archetopics,archetopics/,energy.png,Sigils,Energy,.,Entropy
Archetopics,archetopics/,eutopia.png,Sigils,Eutopia,.,Cataclusm
Archetopics,archetopics/,future.png,Sigils,Future,.,Past
Archetopics,archetopics/,game.png,Sigils,Game,.,Drudgery
Archetopics,archetopics/,gift.png,Sigils,Gift,.,Tax
Archetopics,archetopics/,history.png,Sigils,History,.,Prophecy
Archetopics,archetopics/,human.png,Sigils,Human,.,Beast
Archetopics,archetopics/,life.png,Sigils,Life,.,Aging
Archetopics,archetopics/,paradox.png,Sigils,Paradox,.,Sublation
Archetopics,archetopics/,shadow.png,Sigils,Shadow,.,Redemption
Archetopics,archetopics/,society.png,Sigils,Society,.,Politics
Archetopics,archetopics/,time.png,Sigils,Time,.,Never
Archetopics,archetopics/,truth.png,Sigils,Truth,.,Lies
Archetopics,archetopics/,money.png,Sigils,Money,.,Wishes
Archetopics,archetopics/,uncovery.png,Sigils,Uncovery,.,Distortion
Archetopics,archetopics/,glass-bead.png,Sigils,Glass Bead,"What is a glass bead? A glass bead is a playing piece in the game of scholarly ideas. A glass bead is a lens that reflects the whole world around it in 360 degrees and every dimension. A glass bead is a crystal ball through which one can read the future. A glass bead adorns each vertex of the net which joins us to each other.",Future Ball
Archetopics,archetopics/,big-bang.png,Sigils,Big Bang,.,The Absolute
Archetopics,archetopics/,lighthouse.png,Sigils,Lighthouse,.,Barbelith
