Deck,Directory,File,Suit,Name,Description
Fantod,fantod/,Ancestor.jpg,Trumps,The Ancestor,"April, hereditary weakness, thrush, loss of money, a false statement, morbid dependency, staggering sickness, champerty, megrims, paranoia, an overdoes, imprisonment, unstable furniture"
Fantod,fantod/,Bird.jpg,Trumps,The Yellow Bird,"Saturday, true love thrown away, pique, foot trouble, mania, barratry, an accident on a ladder, indiscretion, borne disease, thwarted ambition, poison, an unforeseen catastrophe, complications"
Fantod,fantod/,Bottle.jpg,Trumps,The Bottle,"December, melancholia, itching, unfortunate publicity, a disregarded warning, irregularity, an accident on a bicycle, loss of feeling, flukes, vexation, intrigue, abandonment, frustrated hopes"
Fantod,fantod/,Bundle.jpg,Trumps,The Bundle,"Wednesday, a tedious illness, inadequate drainage, a broken engagement, a train accident, malaise, false friends, hangnails, misconduct, aphasia, regrets, disappointments, fluctuation"
Fantod,fantod/,Dog.jpg,Trumps,The Blude Dog,"October, loss of one of the senses, weltschmerz, unnatural vice, disorders of the knee, diseases of the tongue, disturbances, miscarriage of a child, an accident in a garage, dementia, fraud, a quarrel, wispiness"
Fantod,fantod/,doll.jpg,Trumps,The Black Doll,"What you most fear, is coming near"
Fantod,fantod/,ecorche.jpg,Trumps,The Écorché,"June, sexual incompetence, a forged check, obscurity, irregularities, puckers, inconstancy, an accident on a pier, morbid sensibilities, deception, a social disease, confinement, cysts"
Fantod,fantod/,Effigy.jpg,Trumps,The Effigy,"August, a sexual problem, assailed honor, unpleasant secrets, amnesia, broken hopes, a misalliance, rashness, yaws, clouded mentality, abrasions, financial losses, an accident in stadium"
Fantod,fantod/,Feather.jpg,Trumps,The Feather,"November, blackmail, a forged passport, hysterical pregnancy, loss of eyelashes, disorders of the small intestine, a disagreeable letter, delirium, hinderance to prospects, twitching, separation, imbroglios, a mistake"
Fantod,fantod/,Head.jpg,Trumps,The Burning Head,"Sunday, bafflement, loss of saliva, a forged deed, an impasse, extradition, a boating accident, chilblains, delayed desires, wandering sickness, evil companions, an impediment, despondency"
Fantod,fantod/,Insects.jpg,Trumps,The Insects,"Thursday, folie a deux, green sickness, senseless talk, loss of vitality, an accident in aa field, false hopes, spasms, a refusal, insincere love, blisters, disagreeable news, threats"
Fantod,fantod/,Ladder.jpg,Trumps,The Ladder,"Tuesday, Slander, Reversals, Creeping sickness, a forged will, insomnia, loss of hair, detention, theft, cafard, jealousy, an accidental restaurant, initiation"
Fantod,fantod/,Limb.jpg,Trumps,The Limb,"February, miscarriage of justice, grapes, a forged snapshot, morbid sensations, a useless sacrifice, alopecia, a generalized calamity, ignominy, an accident in a theatre, fugues, poverty"
Fantod,fantod/,Mouse.jpg,Trumps,The Waltzing Mouse,"May, vertigo, loss of jewelry, a Betis, morbid cravings, disorders of the large intestine, corruption, equivocal symptoms, a hazardous project, brawls, suicide, involuntary seclusion, shriveling"
Fantod,fantod/,Plant.jpg,Trumps,The Plant,"July, tics, sexual indecision, impetigo, loss of intellect, misplaced confidence, writhing sickness, loose ends, palsy, assailed credit, dissolution, scandal, worms"
Fantod,fantod/,Sea.jpg,Trumps,The Sea,"January, wasting, loss of ears, an accident in an elevator, lurching sickness, cracks, false affection, vapors, misdirection, demons, estrangement, chagrin"
Fantod,fantod/,Stones.jpg,Trumps,The Stones,"March, loss of teeth, a forged letter, paralysis, false arrest, falling sickness, evil communications, estrangement, a sudden affliction, anemia, strife, a distasteful duty, misconstruction"
Fantod,fantod/,The_Child.jpg,Trumps,The Child,"September, denigration, sexual inadequacy, sties, hallucinations, breakage, loss of youth, rust, crawling sickness, an obstacle, forced restraint, aberrations, catarrh"
Fantod,fantod/,Tunnel.jpg,Trumps,The Tunnel,"Monday, sexual disturbance, a swindle, loss of wits, diseases of the blood, angst, false trust, an irrational project, an unpleasant discovery, bad luck, an execution, boredom, panic"
Fantod,fantod/,Urn.jpg,Trumps,The Urn,"Friday, a sexual dilemma, a forged invitation, harmful rays, alginuresis, a broken heart, mumbling sickness, broken communications, injustice, interference, miscalculation, "
