Deck,Directory,File,Suit,Name,Description
Jung,Jung/,J_Fool.jpg,Trumps,Fool,"the source, subject and object inified"
Jung,Jung/,J_Magician.jpg,Trumps,Magician,ultimate director in the quest for self.  The male archetype that resides within females
Jung,Jung/,J_HighPriestess.jpg,Trumps,High Priestess,"keeper of secret knowledge, the female archetype that resides within males"
Jung,Jung/,J_Empress.jpg,Trumps,Empress,all archetypes of the mother in one
Jung,Jung/,J_Emperor.jpg,Trumps,Emperor,all archetypes of the father in one
Jung,Jung/,J_Heirophant.jpg,Trumps,Heirophant,"the father as law giver, the demiurge, organized religion"
Jung,Jung/,J_Lovers.jpg,Trumps,Lovers,son as a collector of experience
Jung,Jung/,J_Chariot.jpg,Trumps,Chariot,the vehicle that carries between levels of consciousness
Jung,Jung/,J_Strength.jpg,Trumps,Strength,The daughter as collector of experience
Jung,Jung/,J_Hermit.jpg,Trumps,Hermit,"the teacher and guider of souls, grandfather as teacher"
Jung,Jung/,J_Fortune.jpg,Trumps,Fortune,the mother as the determiner of experience
Jung,Jung/,J_Justice.jpg,Trumps,Justice,the mother who punishes and rewards
Jung,Jung/,J_HangedMan.jpg,Trumps,Hanged Man,"self sacrificed son, as aspect of the perfected self"
Jung,Jung/,J_Death.jpg,Trumps,Death,mother as gatweway
Jung,Jung/,J_Temperance.jpg,Trumps,Temperance,control or mitigation through opposites
Jung,Jung/,J_Devil.jpg,Trumps,Devil,enslavement of consciousness through the illusion of matter
Jung,Jung/,J_Tower.jpg,Trumps,Tower,father as averager/ protector
Jung,Jung/,J_Star.jpg,Trumps,Star,"Maiden, the inspiration for the hero"
Jung,Jung/,J_Moon.jpg,Trumps,Moon,"witchcraft, Hecate, the crone"
Jung,Jung/,J_Sun.jpg,Trumps,Sun,inner child
Jung,Jung/,J_Judgement.jpg,Trumps,Judgement,"judgement at the end of a journey, the final judgement"
Jung,Jung/,J_World.jpg,Trumps,World,the masks we use to hide ourselves from the world.
Jung,Jung/,J_W_K.jpg,Wands,King of Wands,aggressive father
Jung,Jung/,J_W_Q.jpg,Wands,Queen of Wands,stylish mother
Jung,Jung/,J_W_Prince.jpg,Wands,Prince of Wands,affectionate son
Jung,Jung/,J_W_Princess.jpg,Wands,Princess of Wands,clever daughter
Jung,Jung/,J_W_10.jpg,Wands,10 of Wands,control over others
Jung,Jung/,J_W_9.jpg,Wands,9 of Wands,anger
Jung,Jung/,J_W_8.jpg,Wands,8 of Wands,intellectual activity
Jung,Jung/,J_W_7.jpg,Wands,7 of Wands,passion
Jung,Jung/,J_W_6.jpg,Wands,6 of Wands,strong leadership
Jung,Jung/,J_W_5.jpg,Wands,5 of Wands,assertiveness
Jung,Jung/,J_W_4.jpg,Wands,4 of Wands,success
Jung,Jung/,J_W_3.jpg,Wands,3 of Wands,fantasy
Jung,Jung/,J_W_2.jpg,Wands,2 of Wands,invention
Jung,Jung/,J_W_A.jpg,Wands,Ace of Wands,birth & death
Jung,Jung/,J_C_K.jpg,Cups,King of Cups,Intellectual Father
