Deck,Directory,File,Suit,Name,Description
RiderWaite,RiderWaite/,RW_Fool.jpg,Trumps,Fool,"folly, mania, delirium"
RiderWaite,RiderWaite/,RW_Magician.jpg,Trumps,Magician,"Skill, Diplomacy, self confidence, will"
RiderWaite,RiderWaite/,RW_HighPriestess.jpg,Trumps,High Priestess,"Secrets, mystery of the future, silence, tenacity, wisdom"
RiderWaite,RiderWaite/,RW_Empress.jpg,Trumps,Empress,"Fruitfulness, Initiative, action, clandestine, the unknown"
RiderWaite,RiderWaite/,RW_Emperor.jpg,Trumps,Emperor,"Stability, power, aid, protection, a great person, conviction, reason"
RiderWaite,RiderWaite/,RW_Heirophant.jpg,Trumps,Heirophant,"marriage alliance, captivity, mercy and goodness, "
RiderWaite,RiderWaite/,RW_Lovers.jpg,Trumps,Lovers,"attraction, love, beauty, trials overcome"
RiderWaite,RiderWaite/,RW_Chariot.jpg,Trumps,Chariot,"War, triumph, succor, providence, presumption, vengeance, trouble"
RiderWaite,RiderWaite/,RW_Strength.jpg,Trumps,Strength,"Power, Energy, action, courage, magnanimity"
RiderWaite,RiderWaite/,RW_Hermit.jpg,Trumps,Hermit,"treason, dissimulation, corruption, roguery"
RiderWaite,RiderWaite/,RW_Fortune.jpg,Trumps,Fortune,"Destiny, fortune, luck"
RiderWaite,RiderWaite/,RW_Justice.jpg,Trumps,Justice,"Equity, rightness, "
RiderWaite,RiderWaite/,RW_HangedMan.jpg,Trumps,Hanged Man,"wisdom, trials, circumspection, discernment, sacrifice"
RiderWaite,RiderWaite/,RW_Death.jpg,Trumps,Death,"End, mortality, destruction"
RiderWaite,RiderWaite/,RW_Temperance.jpg,Trumps,Temperance,"economy, moderation, frugality"
RiderWaite,RiderWaite/,RW_Devil.jpg,Trumps,Devil,"ravage, violence, pettiness, blindness"
RiderWaite,RiderWaite/,RW_Tower.jpg,Trumps,Tower,"misery, distress, adversity, calamity"
RiderWaite,RiderWaite/,RW_Star.jpg,Trumps,Star,"loss, theft, privation, "
RiderWaite,RiderWaite/,RW_Moon.jpg,Trumps,Moon,"danger, darkness, terror, deception, error"
RiderWaite,RiderWaite/,RW_Sun.jpg,Trumps,Sun,"material happiness, contentment, fortunate marriage"
RiderWaite,RiderWaite/,RW_Judgement.jpg,Trumps,Judgement,"change of position, renewal, outcome"
RiderWaite,RiderWaite/,RW_World.jpg,Trumps,World,"assured success, voyage, change of place"
RiderWaite,RiderWaite/,RW_W_K.jpg,Wands,King of Wands,"generally married, honest, conscientious, country-man"
RiderWaite,RiderWaite/,RW_W_Q.jpg,Wands,Queen of Wands,"friendly, chaste, loving, honorable woman, country woman"
RiderWaite,RiderWaite/,RW_W_Knight.jpg,Wands,Knight of Wands,"departure, absence, flight, immigration"
RiderWaite,RiderWaite/,RW_W_Page.jpg,Wands,Page of Wands,bearer of favorable testimony
RiderWaite,RiderWaite/,RW_W_10.jpg,Wands,10 of Wands,"oppression, who is he taking the rods to and how will they use them?"
RiderWaite,RiderWaite/,RW_W_9.jpg,Wands,9 of Wands,strength in opposition
RiderWaite,RiderWaite/,RW_W_8.jpg,Wands,8 of Wands,speed toward and end which promises felicity
RiderWaite,RiderWaite/,RW_W_7.jpg,Wands,7 of Wands,"valor, business negotiation, debate"
RiderWaite,RiderWaite/,RW_W_6.jpg,Wands,6 of Wands,"great news, triumph"
RiderWaite,RiderWaite/,RW_W_5.jpg,Wands,5 of Wands,"Imitation, sport,"
RiderWaite,RiderWaite/,RW_W_4.jpg,Wands,4 of Wands,"country life, harmony, prosperity, peace"
RiderWaite,RiderWaite/,RW_W_3.jpg,Wands,3 of Wands,"trade, discovery"
RiderWaite,RiderWaite/,RW_W_2.jpg,Wands,2 of Wands,"riches, fortune, magnificence"
RiderWaite,RiderWaite/,RW_W_A.jpg,Wands,Ace of Wands,"creation, invention, enterprise, beginning source"
RiderWaite,RiderWaite/,RW_C_K.jpg,Cups,King of Cups,"fair and responsible man of law, business or divinity (the establishment)"
RiderWaite,RiderWaite/,RW_C_Q.jpg,Cups,Queen of Cups,"good, fair, honest, devoted, someone who will do service to the querent"
RiderWaite,RiderWaite/,RW_C_Knight.jpg,Cups,Knight of Cups,"arrival, approach- sometimes that of a messenger, invitation, incitement"
RiderWaite,RiderWaite/,RW_C_Page.jpg,Cups,Page of Cups,"fair young man, one impelled to render service and with whom the querent will be well connected, "
RiderWaite,RiderWaite/,RW_C_10.jpg,Cups,10 of Cups,"contentment, repose of the entire heart"
RiderWaite,RiderWaite/,RW_C_9.jpg,Cups,9 of Cups,"concord, success, satisfaction"
RiderWaite,RiderWaite/,RW_C_8.jpg,Cups,8 of Cups,dejection and loss
RiderWaite,RiderWaite/,RW_C_7.jpg,Cups,7 of Cups,"imagination, contemplation but without lasting attainment"
RiderWaite,RiderWaite/,RW_C_6.jpg,Cups,6 of Cups,"memories of the past, nostalgia"
RiderWaite,RiderWaite/,RW_C_5.jpg,Cups,5 of Cups,"loss, but not complete loss, inheritance, transmission"
RiderWaite,RiderWaite/,RW_C_4.jpg,Cups,4 of Cups,"weariness, disgust, aversion, imaginary vexation"
RiderWaite,RiderWaite/,RW_C_3.jpg,Cups,3 of Cups,"conclusion of a matter, victory, fulfilment"
RiderWaite,RiderWaite/,RW_C_2.jpg,Cups,2 of Cups,"Love, passion, friendship, sexy times"
RiderWaite,RiderWaite/,RW_C_A.jpg,Cups,Ace of Cups,"true heart, joy, contentment, abundance, fertility"
RiderWaite,RiderWaite/,RW_S_K.jpg,Swords,King of Swords,"power, command, authority"
RiderWaite,RiderWaite/,RW_S_Q.jpg,Swords,Queen of Swords,"widowhood, sterility, separation"
RiderWaite,RiderWaite/,RW_S_Knight.jpg,Swords,Knight of Swords,"wrath, war, ruin, skill bravery, capacity"
RiderWaite,RiderWaite/,RW_S_Page.jpg,Swords,Page of Swords,"secret service, spying"
RiderWaite,RiderWaite/,RW_S_10.jpg,Swords,10 of Swords,"pain, affliction, desolation"
RiderWaite,RiderWaite/,RW_S_9.jpg,Swords,9 of Swords,"failure, disappointment, despair"
RiderWaite,RiderWaite/,RW_S_8.jpg,Swords,8 of Swords,"bad news, censure, sickness"
RiderWaite,RiderWaite/,RW_S_7.jpg,Swords,7 of Swords,"design, attempt, wish, hope"
RiderWaite,RiderWaite/,RW_S_6.jpg,Swords,6 of Swords,"journey by water, route, way"
RiderWaite,RiderWaite/,RW_S_5.jpg,Swords,5 of Swords,"degradation, destruction, dishonor, reversal of fortune"
RiderWaite,RiderWaite/,RW_S_4.jpg,Swords,4 of Swords,"vigilance, retreat, solitude"
RiderWaite,RiderWaite/,RW_S_3.jpg,Swords,3 of Swords,"delay, division, dispersion"
RiderWaite,RiderWaite/,RW_S_2.jpg,Swords,2 of Swords,Conformity
RiderWaite,RiderWaite/,RW_S_A.jpg,Swords,Ace of Swords,Triumph
RiderWaite,RiderWaite/,RW_P_K.jpg,Pentacles,King of Pentacles,intellectual aptitude
RiderWaite,RiderWaite/,RW_P_Q.jpg,Pentacles,Queen of Pentacles,"Opulence, generosity"
RiderWaite,RiderWaite/,RW_P_Knight.jpg,Pentacles,Knight of Pentacles,"serviceableness, utility"
RiderWaite,RiderWaite/,RW_P_Page.jpg,Pentacles,Page of Pentacles,"study, scholarship, reflection"
RiderWaite,RiderWaite/,RW_P_10.jpg,Pentacles,10 of Pentacles,"gain, riches, family matters"
RiderWaite,RiderWaite/,RW_P_9.jpg,Pentacles,9 of Pentacles,"prudence, safety, certitude"
RiderWaite,RiderWaite/,RW_P_8.jpg,Pentacles,8 of Pentacles,"work, employment, craftsmanship"
RiderWaite,RiderWaite/,RW_P_7.jpg,Pentacles,7 of Pentacles,"money, business, barter"
RiderWaite,RiderWaite/,RW_P_6.jpg,Pentacles,6 of Pentacles,"presents, gifts, gratification"
RiderWaite,RiderWaite/,RW_P_5.jpg,Pentacles,5 of Pentacles,material troubles
RiderWaite,RiderWaite/,RW_P_4.jpg,Pentacles,4 of Pentacles,clinging to that which one has
RiderWaite,RiderWaite/,RW_P_3.jpg,Pentacles,3 of Pentacles,"nobility, aristocracy, renowned glory"
RiderWaite,RiderWaite/,RW_P_2.jpg,Pentacles,2 of Pentacles,"happiness, recreation"
RiderWaite,RiderWaite/,RW_P_A.jpg,Pentacles,Ace of Pentacles,"money, perfect contentment"
